RANK,NEIGHBORHOOD
1,North Oakland
2,Central Oakland
3,Squirrel Hill North
4,Bluff
5,Shadyside
6,South Oakland
7,Central Business District
8,Squirrel Hill South
9,Terrace Village
10,South Side Flats
11,Homewood North
12,Highland Park
13,Knoxville
14,Lincoln-Lemington-Belmar
15,Allentown
16,West Oakland
17,Sheraden
18,Elliott
19,Bloomfield
20,East Liberty
21,Garfield
22,Mount Oliver Borough
23,Carrick
24,Friendship
25,Northview Heights
26,Brookline
27,Beechview
28,Hazelwood
29,Crafton Heights
30,South Side Slopes
31,Stanton Heights
32,Point Breeze
33,Perry South
34,East Hills
35,Upper Hill
36,Brighton Heights
37,Homewood South
38,Allegheny Center
39,Greenfield
40,Windgap
41,Upper Lawrenceville
42,Crawford-Roberts
43,Mount Washington
44,Fineview
45,Bedford Dwellings
46,Spring Hill-City View
47,Perry North
48,Morningside
49,Lower Lawrenceville
50,Bon Air
51,Arlington
52,West End
53,Overbrook
54,South Shore
55,New Homestead
56,Westwood
57,Larimer
58,Marshall-Shadeland
59,Glen Hazel
60,Beltzhoover
61,Troy Hill
62,Lincoln Place
63,Central Northside
64,Regent Square
65,Manchester
66,Swisshelm Park
67,Fairywood
68,Central Lawrenceville
69,East Carnegie
70,St. Clair
71,Duquesne Heights
72,Middle Hill
73,Mt. Oliver
74,Point Breeze North
75,California-Kirkbride
76,Chartiers City
77,Banksville
78,East Allegheny
79,Homewood West
80,Summer Hill
81,Esplen
82,Oakwood
83,Arlington Heights
84,Allegheny West
85,Spring Garden
86,Polish Hill
87,Hays
88,Ridgemont
89,Strip District
90,North Shore
91,Chateau
