RANK,NEIGHBORHOOD
1,Swisshelm Park
2,Ridgemont
3,Oakwood
4,Banksville
5,Regent Square
6,Point Breeze
7,Glen Hazel
8,Squirrel Hill South
9,North Oakland
10,Summer Hill
11,Stanton Heights
12,Central Oakland
13,Bon Air
14,New Homestead
15,Westwood
16,Windgap
17,Brookline
18,Shadyside
19,Squirrel Hill North
20,Overbrook
21,Morningside
22,Lincoln Place
23,Friendship
24,Highland Park
25,Greenfield
26,Arlington Heights
27,Crawford-Roberts
28,Chartiers City
29,Brighton Heights
30,South Oakland
31,Beechview
32,East Carnegie
33,Point Breeze North
34,Bloomfield
35,Duquesne Heights
36,Crafton Heights
37,Carrick
38,Spring Hill-City View
39,South Side Flats
40,Bedford Dwellings
41,Perry North
42,East Liberty
43,Arlington
44,East Hills
45,West Oakland
46,Mount Washington
47,Fairywood
48,Central Lawrenceville
49,North Shore
50,Strip District
51,Lower Lawrenceville
52,Sheraden
53,Troy Hill
54,Terrace Village
55,Mt. Oliver
56,South Side Slopes
57,Middle Hill
58,Polish Hill
59,Upper Hill
60,Hays
61,Central Business District
62,Marshall-Shadeland
63,Upper Lawrenceville
64,Elliott
65,Fineview
66,Central Northside
67,Allentown
68,Hazelwood
69,Lincoln-Lemington-Belmar
70,East Allegheny
71,California-Kirkbride
72,Esplen
73,Knoxville
74,Manchester
75,Homewood West
76,Garfield
77,Perry South
78,Allegheny West
79,Spring Garden
80,West End
81,Larimer
82,Beltzhoover
83,Bluff
84,Homewood North
85,Homewood South
86,South Shore
87,Northview Heights
88,Allegheny Center
89,St. Clair
90,Chateau
