,Neighborhood,Walk_Score
0,Lincoln Place,20.0
1,Windgap,22.0
3,Perry North,27.125
5,Stanton Heights,28.25
4,Crafton Heights,30.25
7,Hazelwood,31.0
8,East Hills,32.0
9,Marshall-Shadeland,35.0
11,Ridgemont,37.0
10,Swisshelm Park,37.0
2,Lincoln-Lemington-Belmar,38.875
13,Bon Air,40.0
15,West End,40.5
14,Morningside,40.75
6,Brookline,40.75
17,Oakwood,42.0
12,Perry South,42.25
16,Overbrook,44.5
19,Brighton Heights,46.625
21,Sheraden,48.0
26,Spring Hill-City View,49.0
25,Upper Lawrenceville,49.0
23,Beechview,50.25
28,Highland Park,51.75
22,Greenfield,51.75
27,Point Breeze,51.75
24,Carrick,52.375
31,Fineview,54.0
29,Westwood,54.0
32,Homewood North,57.0
20,Mount Washington,57.5
33,Knoxville,58.0
18,Squirrel Hill South,58.3125
34,Terrace Village,59.0
35,Middle Hill,60.0
36,Chateau,62.0
37,Allentown,63.0
38,East Liberty,63.0
30,Central Lawrenceville,64.25
39,South Side Slopes,65.0
42,Garfield,69.0
41,South Oakland,69.5
40,Squirrel Hill North,70.25
43,West Oakland,71.0
45,Point Breeze North,72.0
44,South Shore,72.0
46,Upper Hill,74.0
50,North Shore,75.0
48,Central Oakland,75.75
52,Bedford Dwellings,77.0
53,Crawford-Roberts,77.0
49,South Side Flats,77.5
47,North Oakland,77.625
51,Shadyside,83.171875
54,Bloomfield,83.75
56,Allegheny West,86.0
57,Friendship,86.0
55,Strip District,87.25
58,Polish Hill,88.0
59,Lower Lawrenceville,91.0
