RANK,NEIGHBORHOOD
1,Strip District
2,Shadyside
3,Lower Lawrenceville
4,Shadyside
5,Shadyside
6,Shadyside
7,Squirrel Hill South
8,Polish Hill
9,Central Lawrenceville
10,Shadyside
11,Allegheny West
12,Bloomfield
13,Bloomfield
14,Friendship
15,Bloomfield
16,South Side Flats
17,Strip District
18,North Oakland
19,Bloomfield
20,Bloomfield
21,North Oakland
22,Squirrel Hill South
23,Squirrel Hill North
24,Central Oakland
25,Crawford-Roberts
26,Shadyside
27,Bedford Dwellings
28,Mount Washington
29,North Shore
30,South Side Flats
31,Central Oakland
32,North Oakland
33,Upper Hill
34,South Oakland
35,Squirrel Hill North
36,Point Breeze North
37,Lincoln-Lemington-Belmar
38,South Shore
39,Central Lawrenceville
40,West Oakland
41,Mount Washington
42,Garfield
43,South Oakland
44,Squirrel Hill North
45,Carrick
46,South Side Slopes
47,Brookline
48,South Side Slopes
49,Mount Washington
50,East Liberty
51,Greenfield
52,Allentown
53,Terrace Village
54,Chateau
55,Middle Hill
56,Terrace Village
57,Knoxville
58,Overbrook
59,Beechview
60,Homewood North
61,Brighton Heights
62,Point Breeze
63,Fineview
64,Central Lawrenceville
65,Highland Park
66,Westwood
67,Point Breeze
68,Brookline
69,Highland Park
70,Spring Hill-City View
71,Upper Lawrenceville
72,Perry South
73,Carrick
74,Carrick
75,Brighton Heights
76,Sheraden
77,Beechview
78,Greenfield
79,Sheraden
80,Mount Washington
81,Swisshelm Park
82,Morningside
83,Brighton Heights
84,Squirrel Hill South
85,Squirrel Hill South
86,Oakwood
87,West End
88,Overbrook
89,Overbrook
90,West End
91,Morningside
92,Bon Air
93,Perry South
94,Lincoln-Lemington-Belmar
95,Crafton Heights
96,Ridgemont
97,Swisshelm Park
98,Lincoln-Lemington-Belmar
99,Marshall-Shadeland
100,East Hills
101,Hazelwood
102,Perry North
103,Brookline
104,Stanton Heights
105,Perry North
106,Crafton Heights
107,Stanton Heights
108,Perry North
109,Lincoln-Lemington-Belmar
110,Windgap
111,Lincoln Place
