RANK,NEIGHBORHOOD
1,SHADYSIDE
2,SQUIRREL HILL SOUTH
3,GLEN HAZEL
4,SOUTHSIDE FLATS
5,CENTRAL LAWRENCEVILLE
6,SUMMER HILL
7,WEST END
8,LINCOLN-LEMINGTON-BELMAR
9,MORNINGSIDE
10,SOUTH OAKLAND
11,STANTON HEIGHTS
12,EAST CARNEGIE
13,BELTZHOOVER
14,WINDGAP
15,SPRING HILL-CITYVIEW
16,MOUNT WASHINGTON
17,SQUIRREL HILL NORTH
18,BLOOMFIELD
19,LARIMER
20,UPPER HILL
21,CHARTIERS CITY
22,CRAWFORD ROBERTS
23,PERRY SOUTH
24,CENTRAL BUSINESS DISTRICT
25,MOUNT OLIVER NEIGHBORHOOD
26,WEST OAKLAND
27,GARFIELD
28,HIGHLAND PARK
29,POINT BREEZE NORTH
30,EAST LIBERTY
31,GREENFIELD
32,STRIP DISTRICT
33,LOWER LAWRENCEVILLE
34,MIDDLE HILL
35,NORTH OAKLAND
36,HAZELWOOD
37,PERRY NORTH
38,POLISH HILL
39,SHERADEN
40,BRIGHTON HEIGHTS
41,ELLIOTT
42,BROOKLINE
43,CENTRAL NORTHSIDE
44,KNOXVILLE
45,CARRICK
46,BEDFORD DWELLINGS
47,POINT BREEZE
48,FRIENDSHIP
49,SOUTHSIDE SLOPES
50,FINEVIEW
51,WESTWOOD
52,MARSHALL-SHADELAND
53,ARLINGTON
54,BLUFF
55,ALLEGHENY CENTER
56,CALIFORNIA-KIRKBRIDE
57,BEECHVIEW
58,SAINT CLAIR
59,CRAFTON HEIGHTS
60,MANCHESTER
61,UPPER LAWRENCEVILLE
62,ALLENTOWN
63,TROY HILL/HERR'S ISLAND
64,EAST ALLEGHENY
65,ARLINGTON HEIGHTS
